round,client_id,mec_id,uplink_mbps,latency_ms,packet_loss,handover
29,7,3,0.4208,10.0304,0,0
29,8,2,0.4208,29.3161,0,0
29,9,3,0.4208,9.95897,0,0
29,10,3,0.4208,30.0321,0,0
29,11,1,0.4208,10.0313,0,0
29,12,2,0.4208,9.95897,0,0
29,13,3,0.4208,10.0313,0,0
29,14,1,0.4208,30.0313,0,0
29,15,2,0.4208,29.9598,0,0
29,16,2,0.4208,30.0313,0,0
29,17,2,0.4208,10.0304,0,0
29,18,3,0.4208,9.95897,0,0
29,19,3,0.4208,9.95897,0,0
30,0,3,0.4208,10.0313,0,0
30,1,3,0.4208,9.88754,0,0
30,2,3,0.4208,9.88754,0,0
30,3,2,0.4208,30.0318,0,0
30,4,2,0.4208,29.2447,0,0
30,5,1,0.4208,30.0321,0,0
30,6,2,0.4208,10.0304,0,0
30,7,3,0.4208,10.0304,0,0
30,8,2,0.4208,29.3161,0,0
30,9,3,0.4208,9.95897,0,0
30,10,3,0.4208,30.0321,0,0
30,11,1,0.4208,14.0318,0,0
30,12,2,0.4208,10.0304,0,0
30,13,3,0.4208,10.0313,0,0
30,14,1,0.4208,30.0313,0,0
30,15,2,0.4208,29.9598,0,0
30,16,2,0.4208,29.3875,0,0
30,17,2,0.4208,10.0304,0,0
30,18,3,0.4208,9.95897,0,0
30,19,3,0.4208,9.95897,0,0
31,0,3,0.4208,10.0304,0,0
31,1,3,0.4208,9.88754,0,0
31,2,3,0.4208,9.88754,0,0
31,3,2,0.4208,30.0321,0,0
31,4,2,0.4208,29.2447,0,0
31,5,1,0.4208,30.0321,0,0
31,6,2,0.4208,10.0304,0,0
31,7,3,0.4208,10.0304,0,0
31,8,2,0.4208,29.3161,0,0
31,9,3,0.4208,9.95897,0,0
31,10,3,0.4208,30.0321,0,0
31,11,1,0.4208,10.0313,0,0
31,12,2,0.4208,9.95897,0,0
31,13,3,0.4208,10.0313,0,0
31,14,1,0.4208,30.0313,0,0
31,15,2,0.4208,29.9598,0,0
31,16,2,0.4208,30.0313,0,0
31,17,2,0.4208,10.0304,0,0
31,18,3,0.4208,9.95897,0,0
31,19,3,0.4208,9.95897,0,0
32,0,3,0.4208,10.0304,0,0
32,1,3,0.4208,9.88754,0,0
32,2,3,0.4208,9.88754,0,0
32,3,2,0.4208,30.0313,0,0
32,4,2,0.4208,29.2447,0,0
32,5,1,0.4208,30.0321,0,0
32,6,2,0.4208,10.0304,0,0
32,7,3,0.4208,10.0304,0,0
32,8,2,0.4208,29.3161,0,0
32,9,3,0.4208,9.95897,0,0
32,10,3,0.4208,30.0321,0,0
32,11,1,0.33664,20.0326,0,0
32,12,2,0.4208,9.95897,0,0
32,13,3,0.4208,10.0313,0,0
32,14,1,0.4208,30.0313,0,0
32,15,2,0.4208,29.9598,0,0
32,16,2,0.4208,30.0313,0,0
32,17,2,0.4208,10.0304,0,0
32,18,3,0.4208,9.95897,0,0
32,19,3,0.4208,9.95897,0,0
33,0,3,0.4208,10.0313,0,0
33,1,3,0.4208,9.88754,0,0
33,2,3,0.4208,9.88754,0,0
33,3,2,0.4208,30.0314,0,0
33,4,2,0.4208,29.2447,0,0
33,5,1,0.4208,30.0321,0,0
33,6,2,0.4208,10.0304,0,0
33,7,3,0.4208,10.0304,0,0
33,8,2,0.4208,29.3161,0,0
33,9,3,0.4208,9.95897,0,0
33,10,3,0.4208,30.0321,0,0
33,11,1,0.4208,18.0323,0,0
33,12,2,0.4208,10.0304,0,0
33,13,3,0.4208,10.0313,0,0
33,14,1,0.4208,30.0313,0,0
33,15,2,0.4208,29.9598,0,0
33,16,2,0.4208,29.3875,0,0
33,17,2,0.4208,10.0304,0,0
33,18,3,0.4208,9.95897,0,0
33,19,3,0.4208,9.95897,0,0
34,0,3,0.4208,10.0304,0,0
34,1,3,0.4208,9.88754,0,0
34,2,3,0.4208,9.88754,0,0
34,3,2,0.4208,30.0313,0,0
34,4,2,0.4208,30.0313,0,0
34,5,1,0.4208,30.0313,0,0
34,6,2,0.4208,10.0304,0,0
34,7,3,0.4208,10.0304,0,0
34,8,2,0.4208,29.8161,0,0
34,9,3,0.4208,9.95897,0,0
34,10,3,0.4208,30.0321,0,0
34,11,1,0.50496,20.0326,0,0
34,12,2,0.4208,9.88754,0,0
34,13,3,0.4208,10.0304,0,0
34,14,1,0.4208,30.0313,0,0
34,15,2,0.4208,29.9598,0,0
34,16,2,0.4208,29.959,0,0
34,17,2,0.4208,9.88842,0,0
