round,client_id,mec_id,uplink_mbps,latency_ms,packet_loss
5,15,2,0,0,0
5,16,1,2.30598,136.354,0
5,17,3,0.605952,665.253,0
5,18,3,0.033664,65.6604,0
5,19,2,0.437632,892.047,0
6,0,2,0.8416,572.767,0
6,1,2,0.058912,278.839,0
6,2,2,0.075744,406.788,0
6,3,3,3.00451,86.8158,0
6,4,1,2.85302,130.049,0
6,5,1,1.64112,306.344,0
6,6,2,0.04208,284.359,0
6,7,2,0.016832,314.05,0
6,8,3,0,0,0
6,9,2,0.058912,290.614,0
6,10,2,0.058912,307.165,0
6,11,3,0.454464,394.249,0
6,12,1,3.18966,57.0599,0
6,13,3,0.58912,528.898,0
6,14,2,0.740608,663.949,0
6,15,2,0.025248,316.577,0
6,16,1,2.76045,143.234,0
6,17,3,0.656448,669.788,0
6,18,3,0.033664,65.6604,0
6,19,2,0.488128,916.202,0
7,0,2,0.934176,590.973,0
7,1,2,0.16832,248.855,0
7,2,2,0.109408,2357.77,0
7,3,3,3.33274,100.777,0
7,4,1,3.35798,114.766,0
7,5,1,2.08717,279.933,0
7,6,2,0.176736,246.757,0
7,7,2,0.100992,234.36,0
7,8,3,0.016832,200.126,0
7,9,2,0.134656,261.13,0
7,10,2,0.134656,267.338,0
7,11,3,0.622784,947.543,0
7,12,1,3.70304,53.0377,0
7,13,3,0.58912,528.898,0
7,14,2,0.934176,612.904,0
7,15,2,0.075744,254.435,0
7,16,1,3.2065,148.495,0
7,17,3,0.656448,669.788,0
7,18,3,0.04208,92.04,0
7,19,3,0.496544,924.013,0
8,0,2,1.04358,599.663,0
8,1,2,0.227232,230.665,0
8,2,2,0.109408,2357.77,0
8,3,3,3.54314,117.199,0
8,4,1,3.87978,103.281,0
8,5,1,2.41539,273.346,0
8,6,2,0.353472,207.753,0
8,7,2,0.193568,194.141,0
8,8,3,0.058912,188.996,0
8,9,2,0.244064,217.188,0
8,10,2,0.29456,204.949,0
8,11,3,0.892096,755.374,0
8,12,1,4.208,50.1277,0
8,13,3,0.58912,528.898,0
8,14,2,1.14458,559.886,0
8,15,2,0.176736,188.581,0
8,16,1,3.68621,151.119,0
8,17,3,0.656448,669.788,0
8,18,3,0.04208,92.04,0
8,19,3,0.54704,854.856,0
9,0,2,1.18666,594.802,0
9,1,2,0.286144,219.402,0
9,2,3,0.109408,2357.77,0
9,3,3,3.84611,130.378,0
9,4,1,4.39315,94.7058,0
9,5,1,2.72678,272.436,0
9,6,2,0.429216,197.955,0
9,7,2,0.227232,191.906,0
9,8,3,0.08416,182.793,0
9,9,2,0.345056,199.251,0
9,10,2,0.33664,202.659,0
9,11,3,1.2119,622.076,0
9,12,1,4.72979,47.9919,0
9,13,3,0.605952,588.893,0
9,14,2,1.43072,508.407,0
9,15,2,0.2104,184.53,0
9,16,1,4.12384,154.385,0
9,17,3,0.656448,669.788,0
9,18,2,0.067328,127.184,0
9,19,3,0.580704,815.022,0
10,0,2,1.33814,583.567,0.0141956
10,1,2,0.328224,210.596,0.0378549
10,2,3,0.12624,2069.83,0.0189274
10,3,3,4.17434,140.31,0
10,4,1,4.89811,87.8584,0
10,5,1,2.98768,275.291,0.00630915
10,6,2,0.50496,194.685,0.0378549
10,7,2,0.302976,184.233,0.0378549
10,8,3,0.08416,182.793,0.0378549
10,9,2,0.370304,198.489,0.0378549
10,10,2,0.37872,196.521,0.0378549
10,11,3,1.43914,577.833,0.00946372
10,12,1,5.23475,46.2453,0
10,13,3,0.605952,588.893,0.00788644
10,14,2,1.62429,495.782,0.0173502
10,15,2,0.25248,181.226,0.0378549
10,16,1,4.56147,157.475,0
10,17,3,0.656448,669.788,0.0157729
10,18,2,0.092576,138.692,0.033123
10,19,3,0.580704,815.022,0.0141956
11,0,2,1.54854,561.232,0.0776978
11,1,2,0.37872,202.229,0.122302
11,2,3,0.134656,1953.7,0.103597
11,3,3,4.62038,145.459,0
11,4,1,5.41149,82.3312,0.0172662
11,5,1,3.1055,275.507,0.0532374
11,6,2,0.54704,193.572,0.122302
11,7,2,0.319808,184.571,0.122302
11,8,3,0.100992,176.131,0.122302
11,9,2,0.395552,196.117,0.120863
11,10,2,0.387136,195.661,0.122302
11,11,3,1.72528,534.817,0.0604317
11,12,1,5.73971,45.3077,0.0143885
11,13,2,0.67328,547.025,0.0633094
11,14,2,1.75894,500.874,0.0877698
11,15,2,0.29456,182.322,0.122302
11,16,1,5.04118,158.719,0
11,17,3,0.732192,1174.95,0.0820144
11,18,2,0.2104,160.629,0.117986
11,19,3,0.58912,805.769,0.0805755
12,0,2,1.78419,533.908,0.130952
12,1,2,0.395552,200.397,0.193122
12,2,3,0.16832,1600.03,0.175926
12,3,3,5.18426,143.491,0
12,4,1,5.93328,77.2317,0.0343915
12,5,1,3.156,274.048,0.0912698
12,6,2,0.597536,190.007,0.193122
12,7,2,0.361888,182.771,0.193122
12,8,3,0.117824,180.575,0.193122
12,9,2,0.429216,194.934,0.191799
12,10,2,0.4208,193.128,0.193122
12,11,3,2.17133,462.894,0.113757
12,12,1,6.25309,43.6014,0.0132275
12,13,2,0.75744,504.492,0.121693
12,14,2,1.88518,510.244,0.146825
12,15,2,0.353472,180.324,0.193122
12,16,1,5.61347,147.498,0.00925926
